"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Internal Defect","34764","Appraisal Redesign: Minimum Mileage on Mileage Slider defaults to 0 on page refresh","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/17/15 02:03 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/27/15 09:40 AM","12/02/15 09:35 AM","34858,","Closed (Verified)"
"Internal Defect","34765","Appraisal Redesign: appraising vehicle in Market listing grid is highlighted with different color.","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/17/15 02:06 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/30/15 01:39 PM","12/02/15 09:36 AM","","Closed (Verified)"
"Task","34766","Appraisal Manager: Export displaying % to market column even while flag in admin is true","0","Medium","Inderjeet Singh","","25.1.1","","AutoLoad","","11/17/15 03:35 PM","007:MAX","Inderjeet Singh","","","0","Michelle Clay","0","0","12/01/15 04:25 PM","12/01/15 05:15 PM","","Closed (Won't Complete)"
"Internal Defect","34767","On Pricing Summary Page after editing Internet Price and clicking on Green check, internet price does not gets saved","0","Medium","Shailesh Panchal","","25.1.1","","Pricing","","11/17/15 03:57 PM","007:MAX","Shailesh Panchal","","","0","Shailesh Panchal","0","0","11/27/15 07:49 AM","12/02/15 10:57 AM","","Closed (Verified)"
"Task","34768","Appraisal Redesign: While Primary Secondary books are same then only one tile is being displayed on step 3 page ","0","Medium","Abhishek Kumar","","25.1.1","","AutoLoad","","11/17/15 05:06 PM","007:MAX","Inderjeet Singh","","","0","Mukesh Khankari","0","0","11/20/15 05:01 PM","12/02/15 12:11 PM","","Closed (Verified)"
"Bug","34769","SF:141342, User Receiving duplicate Digital Inventory Quality Analysis reports","0","Medium","App Support","","Undecided","","Reports","","11/17/15 05:17 PM","007:MAX","Bill Rogalla","141342","","0","Michelle Clay","0","0","12/09/15 04:55 PM","12/10/15 08:26 PM","","Closed (Fixed)"
"Task","34770","Add cab size (body style) and bed length filtering to Profit MAX ","0","Medium","Tim Muir","","25.2","","Pricing","","11/17/15 05:33 PM","007:MAX","Michelle Clay","","","0","Tim Muir","0","0","12/23/15 05:42 PM","12/23/15 06:05 PM","","Closed (Verified)"
"Task","34771","Add cab size (body style) and bed length filtering to Appraisal","0","Medium","Tim Muir","","25.2","","Pricing","","11/17/15 05:33 PM","007:MAX","Michelle Clay","","","0","Tim Muir","0","0","12/23/15 05:46 PM","12/23/15 06:04 PM","35133,35136,","Closed (Verified)"
"Task","34772","Add Package filtering to Apprasial","0","Medium","Tim Muir","","25.2","","Pricing","","11/17/15 05:35 PM","007:MAX","Michelle Clay","","","0","Tim Muir","0","0","12/23/15 04:58 PM","12/23/15 06:02 PM","","Closed (Completed)"
"Internal Defect","34773","Website PDF is not created on approval when Auto-Approve is off","0","Medium","Inna Tulika","","Undecided","","Max Ad","","11/17/15 07:46 PM","007:MAX","Inna Tulika","","","0","Inna Tulika","0","0","10/20/16 10:50 PM","10/20/16 10:50 PM","","Closed (Not Reproducible)"
"Task","34776","Add the ability to hide MSRP field on the Profit MAX page","0","Medium","Monisha Lakshamana","","25.2","","Pricing","","11/17/15 08:28 PM","007:MAX","Michelle Clay","","","0","Monisha Lakshamana","0","0","12/18/15 11:06 AM","12/23/15 02:06 PM","","Closed (Verified)"
"Internal Defect","34778","Price vs. Market: JSON Missing comparisondefinition Object","0","Medium","Tim Muir","","25.1","","Pricing","","11/17/15 09:22 PM","007:MAX","Tim Muir","","","0","Tim Muir","0","0","11/19/15 05:25 PM","11/19/15 07:20 PM","","Closed (Verified)"
"Internal Defect","34779","Price vs. Market: JSON Contains Zero Value For Low/Avg/High Market Listing","0","Medium","Tim Muir","","25.1","","Pricing","","11/17/15 09:50 PM","007:MAX","Tim Muir","","","0","Tim Muir","0","0","11/19/15 05:34 PM","11/19/15 07:19 PM","","Closed (Verified)"
"Task","34782","Integrate Profit MAX with FirstLook: Update Market Details service to Accept AppraisalId and IncludeCurrentVehicleFlag","0","Medium","Abhishek Kumar","","25.1.1","","Pricing","","11/18/15 09:34 AM","007:MAX","Vivek Rane","","","0","Vivek Rane","0","0","11/24/15 02:15 PM","12/03/15 10:22 AM","","Closed (Verified)"
"Task","34783","Profit Max: Add feature to Print market Listings","0","Medium","Inna Tulika","","25.2","","Pricing","","11/18/15 09:38 AM","007:MAX","Vivek Rane","","","0","Inna Tulika","0","0","12/17/15 03:27 PM","12/23/15 02:48 PM","35066,35067,35068,35071,","Closed (Verified)"
"Task","34784","Appraisal Redesign - Determining ChromeStyleId using VIN","0","Medium","Abhishek Kumar","","25.1.1","","Engineering","","11/18/15 03:33 PM","007:MAX","Dhiresh Mehta","","","0","Mukesh Khankari","0","0","11/20/15 04:59 PM","12/03/15 03:40 PM","","Closed (Verified)"
"Task","34786","The distance isn't displaying on the market tab for Appraisal","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/18/15 05:55 PM","007:MAX","Michelle Clay","","","0","Advait Gupte","0","0","11/27/15 09:56 AM","12/02/15 09:37 AM","34835,","Closed (Verified)"
"Task","34789","MAX work to accept Homenet as a report data source","0","Medium","Christopher Norton","","25.2","","Data","","11/18/15 06:21 PM","007:MAX","Kara Korte","143699","","0","Troy Hemstreet","0","0","12/15/15 09:35 PM","12/23/15 02:44 PM","35102,","Closed (Completed)"
"Task","34790","Move Market Listings to Link Further up on the page","0","High","Tim Muir","","25.2","","Pricing","","11/18/15 07:07 PM","007:MAX","Michelle Clay","","","0","Tim Muir","0","0","12/05/15 05:38 AM","12/23/15 04:44 PM","34912,34913,34914,34933,","Closed (Verified)"
"Task","34791","Reduce horizontal space in the DCS section","0","Medium","Monisha Lakshamana","","25.1.1","","Pricing","","11/18/15 07:13 PM","007:MAX","Michelle Clay","","","0","Monisha Lakshamana","0","0","11/27/15 12:44 PM","12/02/15 01:21 PM","","Closed (Verified)"
