"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","9259","SF:31988, P1, Ping II Icon pulls up Summary page instead ov VPA page (Multiple Stores)  (ref:00D0hatC.50002mzb7:ref)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/10/10 09:02 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","02/11/10 05:10 PM","02/11/10 07:13 PM","","Closed (Fixed)"
"Bug","9260","SF:31990, P1, Ping II Icon pulls up Summary page instead ov VPA page (Multiple Stores)  (ref:00D0hatC.50002mzdj:ref)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/10/10 09:29 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","02/11/10 07:18 PM","02/11/10 07:18 PM","","Closed (Duplicate)"
"Bug","9261","SF:31992, P1, Ping II Icon pulls up Summary page instead ov VPA page (Multiple Stores)  (ref:00D0hatC.50002mzhF:ref)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/10/10 09:36 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","02/11/10 07:18 PM","02/11/10 07:18 PM","","Closed (Duplicate)"
"Bug","9263","SF:31995, P1, Ping II Icon pulls up Summary page instead ov VPA page (Multiple Stores)  (ref:00D0hatC.50002mzof:ref)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/10/10 10:17 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","02/11/10 07:22 PM","02/11/10 07:22 PM","","Closed (Duplicate)"
"Bug","9279","SF:31928, P1, Connectivity Error when attempting to test ACS CRM  (ref:00D0hatC.50002mvLV:ref)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/11/10 05:16 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Nate Snow","0","0","02/19/10 03:57 PM","03/09/10 06:58 PM","","Closed (Fixed)"
"Bug","9289","SF:32016, P1, Search by Stock# - Receive Blank Page (Error#423 in URL) (ref:00D0hatC.50002n2Hy:ref)","","Medium","App Support","","Salesforce Cases","V5_18_06","001:Appraisal Center","","02/11/10 10:29 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Paul Monson","0","0","02/16/10 07:31 PM","02/23/10 05:44 PM","","Closed (Fixed)"
"Bug","9291","SF:31928, P1,Connectivity Error when attempting to test ACS CRM","","Medium","Paco Lebron","","Salesforce Cases","Undecided","005:Reporting and Dashboards","","02/11/10 11:24 PM","000:Salesforce Cases","Paco Lebron","","","0","Devang Maniar","0","0","02/16/10 08:44 PM","03/19/10 11:19 PM","","Closed (Fixed)"
"Bug","9295","SF:31936, P2, Ping II Server Error - Pinging 2006 BMW 3-Series Sedan (vehicle specific)  (ref:00D0hatC.50002mwFa:ref)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/12/10 05:29 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Devang Maniar","0","0","04/08/10 03:05 PM","04/08/10 03:05 PM","","Closed (Fixed)"
"Bug","9297","SF:32028, P1, Ping II IPA Connectivity Error -  Internet Explorer Cannot display the webpage  (ref:00D0hatC.50002n4S1:ref)","","Medium","App Support","","Salesforce Cases","Undecided","007:MAX (IMS) - NOT MAX Ad/MAX S & E","","02/12/10 06:43 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","03/02/10 08:07 PM","03/02/10 08:07 PM","9340,9356,","Closed (Fixed)"
"Bug","9340","SF:32029, P1, IPA Page Link Via MAX displays  Internet Explorer Cannot display the webpage  (ref:00D0hatC.50002n4Rd:ref)","","Medium","App Support","","Salesforce Cases","V5_18_06","007:MAX (IMS) - NOT MAX Ad/MAX S & E","","02/12/10 07:00 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Paul Monson","1","1","02/16/10 07:30 PM","02/23/10 05:43 PM","","Closed (Fixed)"
